source_object,source_outlet,destination_object,destination_inlet,description,is_recommended,audio_signal_flow,performance_impact,compatibility_issues
metro,0,counter,0,メトロノームからカウンターへの標準的な接続。一定間隔でカウンターを増加させるために使用されます。,1,0,低,なし
metro,0,bang,0,メトロノームからバンガーへの接続。一定間隔でUIボタンを作動させるために使用されます。,1,0,低,なし
metro,0,print,0,メトロノームからprintへの接続。一定間隔でコンソールにメッセージを出力するために使用されます。,1,0,低,なし
counter,0,number,0,カウンターからナンバーへの接続。カウント値をUI要素に表示するために使用されます。,1,0,低,なし
button,0,metro,0,ボタンからメトロノームへの接続。メトロノームの開始・停止を制御するために使用されます。,1,0,低,なし
number,0,metro,1,ナンバーからメトロノームの2番目のインレットへの接続。メトロノームの間隔を設定するために使用されます。,1,0,低,なし
adc~,0,dac~,0,左チャンネルマイク入力から左チャンネルスピーカー出力への接続。,1,1,中,なし
adc~,1,dac~,1,右チャンネルマイク入力から右チャンネルスピーカー出力への接続。,1,1,中,なし
cycle~,0,dac~,0,オシレーターから左チャンネルスピーカー出力への接続。,1,1,低,なし
cycle~,0,gain~,0,オシレーターからゲイン調整への接続。音量調整前の信号処理に使用されます。,1,1,低,なし
gain~,0,dac~,0,ゲイン調整された信号を左チャンネルスピーカー出力に送る接続。,1,1,低,なし
route,0,print,0,routeオブジェクトからprintへの接続。フィルタリングされたメッセージのデバッグに使用されます。,1,0,低,なし
route,1,number,0,routeオブジェクトの2番目のアウトレットからナンバーへの接続。特定のタグに一致したメッセージの数値を表示します。,1,0,低,なし
button,0,jit.matrix,0,ボタンからJitterマトリックスへの接続。マトリックスデータの処理やレンダリングをトリガーするために使用されます。,1,0,低,なし
jit.matrix,0,jit.window,0,JitterマトリックスからJitterウィンドウへの接続。マトリックスデータをウィンドウに表示するために使用されます。,1,0,高,なし
sfplay~,0,dac~,0,サウンドファイルプレーヤーの左チャンネル出力からスピーカー左チャンネルへの接続。,1,1,中,なし
sfplay~,1,dac~,1,サウンドファイルプレーヤーの右チャンネル出力からスピーカー右チャンネルへの接続。,1,1,中,なし
button,0,sfplay~,0,ボタンからサウンドファイルプレーヤーへの接続。再生・停止を制御するために使用されます。,1,0,低,なし
poly~,0,dac~,0,ポリフォニーオブジェクトからスピーカー出力への接続。複数の音声処理インスタンスの出力を統合します。,1,1,中,Maxパッチ内で多数の接続を使用する場合はCPU負荷に注意
zl,0,print,0,リスト処理ユーティリティからプリントへの接続。リスト操作の結果を表示します。,1,0,低,なし
